,날짜,위치,남중고도,9시고도,12시고도,15시고도,18시고도,9시방위각,12시방위각,15시방위각,18시방위각
0,20160311,대구,50˚ 34´,26˚ 4´,49˚ 41´,38˚ 8´,5˚ 7´,116˚ 8´,166˚ 12´,228˚ 24´,261˚ 57´
0,20160312,대구,50˚ 58´,26˚ 23´,50˚ 5´,38˚ 24´,5˚ 18´,115˚ 52´,166˚ 11´,228˚ 46´,262˚ 18´
0,20160313,대구,51˚ 21´,26˚ 42´,50˚ 29´,38˚ 40´,5˚ 29´,115˚ 36´,166˚ 10´,229˚ 9´,262˚ 40´
0,20160314,대구,51˚ 45´,27˚ 1´,50˚ 53´,38˚ 56´,5˚ 40´,115˚ 20´,166˚ 9´,229˚ 32´,263˚ 2´
0,20160315,대구,52˚ 8´,27˚ 20´,51˚ 17´,39˚ 12´,5˚ 50´,115˚ 3´,166˚ 8´,229˚ 55´,263˚ 23´
0,20160316,대구,52˚ 32´,27˚ 39´,51˚ 41´,39˚ 28´,6˚ 1´,114˚ 47´,166˚ 7´,230˚ 18´,263˚ 45´
0,20160317,대구,52˚ 56´,27˚ 59´,52˚ 5´,39˚ 44´,6˚ 12´,114˚ 30´,166˚ 7´,230˚ 42´,264˚ 7´
0,20160318,대구,53˚ 20´,28˚ 18´,52˚ 29´,40˚ 0´,6˚ 22´,114˚ 14´,166˚ 6´,231˚ 6´,264˚ 29´
0,20160319,대구,53˚ 43´,28˚ 37´,52˚ 54´,40˚ 15´,6˚ 33´,113˚ 57´,166˚ 6´,231˚ 30´,264˚ 51´
0,20160320,대구,54˚ 7´,28˚ 56´,53˚ 18´,40˚ 31´,6˚ 43´,113˚ 41´,166˚ 5´,231˚ 54´,265˚ 12´
0,20160321,대구,54˚ 31´,29˚ 15´,53˚ 42´,40˚ 46´,6˚ 53´,113˚ 24´,166˚ 5´,232˚ 18´,265˚ 34´
0,20160322,대구,54˚ 54´,29˚ 35´,54˚ 6´,41˚ 1´,7˚ 4´,113˚ 7´,166˚ 4´,232˚ 43´,265˚ 56´
0,20160323,대구,55˚ 18´,29˚ 54´,54˚ 30´,41˚ 16´,7˚ 14´,112˚ 50´,166˚ 4´,233˚ 8´,266˚ 18´
0,20160324,대구,55˚ 42´,30˚ 13´,54˚ 54´,41˚ 31´,7˚ 24´,112˚ 33´,166˚ 4´,233˚ 33´,266˚ 40´
0,20160325,대구,56˚ 5´,30˚ 32´,55˚ 18´,41˚ 46´,7˚ 34´,112˚ 16´,166˚ 4´,233˚ 58´,267˚ 2´
0,20160326,대구,56˚ 29´,30˚ 51´,55˚ 42´,42˚ 1´,7˚ 44´,111˚ 59´,166˚ 3´,234˚ 24´,267˚ 24´
0,20160327,대구,56˚ 52´,31˚ 10´,56˚ 6´,42˚ 16´,7˚ 54´,111˚ 42´,166˚ 3´,234˚ 49´,267˚ 46´
0,20160328,대구,57˚ 16´,31˚ 28´,56˚ 30´,42˚ 30´,8˚ 4´,111˚ 25´,166˚ 3´,235˚ 15´,268˚ 8´
0,20160329,대구,57˚ 39´,31˚ 47´,56˚ 54´,42˚ 44´,8˚ 14´,111˚ 7´,166˚ 3´,235˚ 41´,268˚ 30´
0,20160330,대구,58˚ 2´,32˚ 6´,57˚ 17´,42˚ 59´,8˚ 24´,110˚ 50´,166˚ 2´,236˚ 7´,268˚ 51´
0,20160331,대구,58˚ 26´,32˚ 24´,57˚ 41´,43˚ 13´,8˚ 34´,110˚ 33´,166˚ 2´,236˚ 33´,269˚ 13´
0,20160401,대구,58˚ 49´,32˚ 43´,58˚ 5´,43˚ 27´,8˚ 44´,110˚ 15´,166˚ 2´,236˚ 59´,269˚ 35´
0,20160402,대구,59˚ 12´,33˚ 1´,58˚ 28´,43˚ 41´,8˚ 54´,109˚ 58´,166˚ 1´,237˚ 25´,269˚ 56´
0,20160403,대구,59˚ 35´,33˚ 19´,58˚ 52´,43˚ 54´,9˚ 4´,109˚ 40´,166˚ 1´,237˚ 51´,270˚ 18´
0,20160404,대구,59˚ 58´,33˚ 37´,59˚ 15´,44˚ 8´,9˚ 14´,109˚ 22´,166˚ 0´,238˚ 18´,270˚ 39´
0,20160405,대구,60˚ 21´,33˚ 55´,59˚ 38´,44˚ 21´,9˚ 23´,109˚ 4´,166˚ 0´,238˚ 44´,271˚ 1´
0,20160406,대구,60˚ 43´,34˚ 13´,60˚ 1´,44˚ 34´,9˚ 33´,108˚ 46´,165˚ 59´,239˚ 10´,271˚ 22´
0,20160407,대구,61˚ 6´,34˚ 30´,60˚ 24´,44˚ 48´,9˚ 43´,108˚ 28´,165˚ 58´,239˚ 37´,271˚ 43´
0,20160408,대구,61˚ 28´,34˚ 48´,60˚ 47´,45˚ 1´,9˚ 52´,108˚ 10´,165˚ 57´,240˚ 3´,272˚ 4´
0,20160409,대구,61˚ 51´,35˚ 5´,61˚ 10´,45˚ 13´,10˚ 2´,107˚ 52´,165˚ 57´,240˚ 30´,272˚ 25´
0,20160410,대구,62˚ 13´,35˚ 22´,61˚ 32´,45˚ 26´,10˚ 11´,107˚ 34´,165˚ 55´,240˚ 56´,272˚ 45´
0,20160411,대구,62˚ 35´,35˚ 39´,61˚ 55´,45˚ 39´,10˚ 21´,107˚ 16´,165˚ 54´,241˚ 23´,273˚ 6´
0,20160412,대구,62˚ 57´,35˚ 55´,62˚ 17´,45˚ 51´,10˚ 30´,106˚ 58´,165˚ 53´,241˚ 49´,273˚ 27´
0,20160413,대구,63˚ 19´,36˚ 12´,62˚ 39´,46˚ 3´,10˚ 40´,106˚ 39´,165˚ 51´,242˚ 16´,273˚ 47´
0,20160414,대구,63˚ 40´,36˚ 28´,63˚ 1´,46˚ 16´,10˚ 49´,106˚ 21´,165˚ 50´,242˚ 42´,274˚ 7´
0,20160415,대구,64˚ 2´,36˚ 44´,63˚ 23´,46˚ 28´,10˚ 58´,106˚ 3´,165˚ 48´,243˚ 8´,274˚ 27´
0,20160416,대구,64˚ 23´,37˚ 0´,63˚ 44´,46˚ 39´,11˚ 8´,105˚ 44´,165˚ 46´,243˚ 35´,274˚ 47´
0,20160417,대구,64˚ 44´,37˚ 16´,64˚ 6´,46˚ 51´,11˚ 17´,105˚ 26´,165˚ 44´,244˚ 1´,275˚ 6´
0,20160418,대구,65˚ 5´,37˚ 31´,64˚ 27´,47˚ 3´,11˚ 26´,105˚ 7´,165˚ 42´,244˚ 27´,275˚ 26´
0,20160419,대구,65˚ 26´,37˚ 46´,64˚ 48´,47˚ 14´,11˚ 35´,104˚ 49´,165˚ 39´,244˚ 53´,275˚ 45´
0,20160420,대구,65˚ 46´,38˚ 1´,65˚ 9´,47˚ 25´,11˚ 44´,104˚ 30´,165˚ 36´,245˚ 18´,276˚ 4´
0,20160421,대구,66˚ 7´,38˚ 16´,65˚ 29´,47˚ 36´,11˚ 54´,104˚ 12´,165˚ 33´,245˚ 44´,276˚ 23´
0,20160422,대구,66˚ 27´,38˚ 30´,65˚ 49´,47˚ 47´,12˚ 3´,103˚ 53´,165˚ 30´,246˚ 10´,276˚ 42´
0,20160423,대구,66˚ 47´,38˚ 44´,66˚ 10´,47˚ 58´,12˚ 12´,103˚ 35´,165˚ 27´,246˚ 35´,277˚ 0´
0,20160424,대구,67˚ 7´,38˚ 58´,66˚ 30´,48˚ 9´,12˚ 21´,103˚ 16´,165˚ 23´,247˚ 0´,277˚ 18´
0,20160425,대구,67˚ 26´,39˚ 12´,66˚ 49´,48˚ 20´,12˚ 30´,102˚ 58´,165˚ 19´,247˚ 25´,277˚ 36´
0,20160426,대구,67˚ 46´,39˚ 25´,67˚ 9´,48˚ 30´,12˚ 38´,102˚ 39´,165˚ 14´,247˚ 50´,277˚ 54´
0,20160427,대구,68˚ 5´,39˚ 38´,67˚ 28´,48˚ 40´,12˚ 47´,102˚ 21´,165˚ 10´,248˚ 14´,278˚ 11´
0,20160428,대구,68˚ 24´,39˚ 51´,67˚ 47´,48˚ 51´,12˚ 56´,102˚ 2´,165˚ 4´,248˚ 39´,278˚ 29´
0,20160429,대구,68˚ 42´,40˚ 3´,68˚ 5´,49˚ 1´,13˚ 5´,101˚ 44´,164˚ 59´,249˚ 3´,278˚ 46´
0,20160430,대구,69˚ 1´,40˚ 15´,68˚ 24´,49˚ 11´,13˚ 14´,101˚ 26´,164˚ 53´,249˚ 27´,279˚ 2´
0,20160501,대구,69˚ 19´,40˚ 27´,68˚ 42´,49˚ 20´,13˚ 22´,101˚ 7´,164˚ 47´,249˚ 50´,279˚ 19´
0,20160502,대구,69˚ 37´,40˚ 39´,69˚ 0´,49˚ 30´,13˚ 31´,100˚ 49´,164˚ 40´,250˚ 13´,279˚ 35´
0,20160503,대구,69˚ 55´,40˚ 50´,69˚ 17´,49˚ 40´,13˚ 40´,100˚ 31´,164˚ 33´,250˚ 36´,279˚ 51´
